題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
136,暑期練習7/6,請問下列何者為澎湖南方四島國家公園的主要特色？,玄武岩地質,亞熱帶海島型,潟湖,沙洲,(A) 玄武岩地質,"【正確答案：A】
解析：
1. 澎湖南方四島國家公園（包含東吉嶼、西吉嶼、東嶼坪嶼、西嶼坪嶼）擁有世界級壯麗的「火山玄武岩」地質地貌，包括發達的柱狀玄武岩海崖、海蝕洞（如西吉嶼藍洞）與海蝕平台，為其最顯著具代表性的天然特色。
2. 選項(C)潟湖與(D)沙洲為台江國家公園（七股潟湖、頂頭額沙洲等）之核心地理景觀。"
137,暑期練習7/6,公害造成損害時，「程度鑑定」主要為了確認下列何者？,何種污染物造成損害,造成損害之污染來源,評估危害程度,以上皆是,(C) 評估危害程度,"【正確答案：C】
解析：
1. 在公害糾紛處理與環境損害鑑定體系中，「程度鑑定（Damage Assessment）」的核心目的在於調查與量化公害事件對人體健康、農漁作物、生態環境或財物所造成之實質「危害程度、損害範圍與受損金額」，作為求償與復育賠償之基準。
2. 選項(A)污染物種類與(B)污染源排放者屬於「原因鑑定/因果關係判定」範疇。"
138,暑期練習7/6,我國2050淨零排放路徑有12項關鍵戰略，其中「淨零綠生活」策略有六大面向，請問下列何者選項不是？,零浪費低碳飲食,友善環境綠時尚,綠色設計源頭減量,使用取代擁有,(C) 綠色設計源頭減量,"【正確答案：C】
解析：
1. 國發會公布之臺灣2050淨零轉型12項關鍵戰略中，「淨零綠生活」之六大推動面向為：零浪費低碳飲食（食）、友善環境綠時尚（衣）、居住品質提升（住）、低碳運輸網絡（行）、永續觀光樂悠遊（育樂）及全民對話／使用取代擁有（購/生活共享）。「綠色設計源頭減量」屬於關鍵戰略八「資源循環零廢棄」之內容，非屬淨零綠生活六大面向。
2. 選項(A)、(B)、(D)皆為淨零綠生活之正式推動面向。"
139,暑期練習7/6,大氣層是保護地球的一大功臣，有關大氣層的重要性，下列何者是「錯誤」的？,可阻擋所有宇宙射線和紫外線的入侵,可幫助地表維持適當的溫度,大氣環流具有調節氣候的功能,可阻擋隕石直接撞地球,(A) 可阻擋所有宇宙射線和紫外線的入侵,"【正確答案：A】
解析：
1. 大氣層（平流層臭氧層）吸收了絕大部分有害的短波紫外線（UV-C及大部分UV-B），但「長波紫外線（UV-A）」仍有95%以上能穿透大氣到達地表；此外部分高能宇宙射線亦能穿透大氣層，因此並非「阻擋所有」射線。
2. 選項(B)天然溫室效應維持地表均溫於適合生物生存之15°C；選項(C)大氣環流輸送赤道熱量至高緯度調節氣候；選項(D)流星體與大氣劇烈摩擦燃燒，阻擋多數隕石撞擊地表。"
140,暑期練習7/6,我們引進臺灣原本沒有的動物以增加生物的種類，會帶來下列何種影響？,增加生物的多樣性,促進生態平衡,提高生物繁殖能力,會使當地原來生物受到攻擊,(D) 會使當地原來生物受到攻擊,"【正確答案：D】
解析：
1. 任意引進非原生之外來動物，若其在缺乏天敵與制約機制的環境中大量繁殖，會演變成強勢外來入侵種，捕食本土原生生物、掠奪食物與棲地資源，甚至傳播外來疾病，直接危害當地原生物種生存。
2. 選項(A)引進外來種雖短期增加名錄物種數，但長期會造成本土特有種滅絕，大幅降低整體生物多樣性；選項(B)破壞既有食物網與生態平衡；選項(C)無法提高本土原生生物的繁殖力。"
141,暑期練習7/6,「根壓」的形成原因為下列哪個選項？,根部在土壤中因泥土的擠壓所造成的壓力,根部接受由葉部運輸來的蔗糖，使根部細胞壓力變大,根部細胞的細胞質濃度比土壤高，導致水的滲透壓差而產生根壓,根部在土壤中與其他植物的根競爭養分所造成的壓力,(C) 根部細胞的細胞質濃度比土壤高，導致水的滲透壓差而產生根壓,"【正確答案：C】
解析：
1. 植物根部細胞透過主動運輸將土壤中的無機鹽礦物質吸收至細胞質與木質部導管中，使得根部細胞質的溶質濃度高於周圍土壤水溶液。藉由滲透作用，水分自低溶質濃度的土壤持續滲透進入根部，在木質部內累積產生向上的靜水壓力，此即為「根壓（Root Pressure）」之成因。
2. 選項(A)泥土物理擠壓、(B)蔗糖在韌皮部之運輸、(D)根系養分競爭，均非植物木質部根壓形成的生理機制。"
142,暑期練習7/6,下列各地出現的主要岩石配對何者錯誤？,鼻頭角:砂岩,火炎山:礫岩,清水斷崖:大理岩,金門:玄武岩,(D) 金門:玄武岩,"【正確答案：D】
解析：
1. 金門島嶼的地質基盤主要由中生代花崗片麻岩與「花崗岩」構成，以壯觀的花崗岩巨石地形聞名；「玄武岩」地質為澎湖群島的代表性岩石，故金門配對玄武岩為錯誤。
2. 選項(A)鼻頭角主要由沉積岩厚層砂岩與頁岩構成；選項(B)苗栗火炎山為典型頭嵙山層厚層礫岩惡地地形；選項(C)花蓮清水斷崖由太魯閣帶變質岩厚層大理岩構成。"
143,暑期練習7/6,環境部公告「一次用旅宿用品限制使用對象及實施方式」規範，旅宿業者不得主動陳列下列何者選項供民眾使用？,水,室內拖鞋,衛生紙,浴帽,(D) 浴帽,"【正確答案：D】
解析：
1. 依據環境部公告之《一次用旅宿用品限制使用對象及實施方式》，旅宿業者不得於客房內主動陳列提供6大類「個人衛生用品」一次性備品（包含梳子、牙刷、牙膏、刮鬍刀、刮鬍膏及浴帽），以及容量小於180毫升之洗沐液態用品。
2. 選項(A)包裝水、(B)室內拖鞋、(C)衛生紙均非該法規列管限制主動陳列之6項個人衛生備品。"
144,暑期練習7/6,水牛在臺灣的開拓史上，扮演著甚麼角色？,風水,畜養,開墾,宗教,(C) 開墾,"【正確答案：C】
解析：
1. 臺灣拓墾歷史中，水牛是先民不可或缺的「農耕役力」。水牛耐濕熱、力大且善於在泥濘水田中行走，主要用來翻土犁田、拉車搬運、整修水利與開墾荒地，是奠定臺灣水田農業基礎最重要的勞動夥伴。
2. 選項(A)風水、(B)單純肉乳畜養、(D)宗教，均非水牛在臺灣拓墾歷史發展中所扮演的核心歷史功能。"
145,暑期練習7/6,下列哪個選項「不屬於」細菌外型的分類之一？,球狀,桿狀,螺旋狀,橄欖球狀,(D) 橄欖球狀,"【正確答案：D】
解析：
1. 微生物學中依細菌的基本形態特徵，主要分為三大基本類型：
   - 球菌（球狀，Coccus）
   - 桿菌（桿狀，Bacillus）
   - 螺旋菌（螺旋狀，Spirillum/Spirochete）
   分類學上並無「橄欖球狀」此一標準細菌形態分類。
2. 選項(A)球狀、(B)桿狀、(C)螺旋狀均為標準細菌形態分類。"
146,暑期練習7/6,下列哪一種微生物長久以來一直被當作水污染的指標生物？,霍亂弧菌,沙門氏桿菌,大腸桿菌,志賀氏桿菌,(C) 大腸桿菌,"【正確答案：C】
解析：
1. 「大腸桿菌群（Escherichia coli / Coliform bacteria）」普遍存在於溫血動物與人類腸道及糞便中，檢驗技術成熟且靈敏。水體中若檢測出大腸桿菌，即代表水體曾受人畜糞便污染，且極可能同時潛藏其他腸道傳染病原體，因此長久以來被廣泛作為水質衛生與水污染監測的標準「指標生物（Indicator Organism）」
2. 選項(A)霍亂弧菌、(B)沙門氏桿菌、(D)志賀氏桿菌均為具體致病菌，檢驗繁複且含量不固定，不適合作為例行常態性水質指標。"
147,暑期練習7/6,「前雷後雨，落不濕土」、「一粒雨擲死一個人」，以上臺灣諺語所形容的降水類型，主要成因是下列哪個選項？,地形抬升,鋒面滯留,熱力對流,強烈低氣壓,(C) 熱力對流,"【正確答案：C】
解析：
1. 這兩句臺灣氣象諺語描寫的是夏季午後典型的雷陣雨（西北雨）。夏季地表強烈吸收太陽輻射，近地面空氣受熱劇烈膨脹上升，引發強烈「熱力對流（Thermal Convection）」，迅速發展為積雨雲，帶來雨滴大、雨勢急促、伴隨雷電且局部快速結束的對流雨。
2. 選項(A)地形抬升形成地形雨；選項(B)鋒面滯留形成梅雨（陰雨綿綿）；選項(D)強烈低氣壓形成颱風雨。"
148,暑期練習7/6,減塑旅遊要達成下列哪些行動？,自備、重複、少用,輕便行李,多使用旅館備品,多使用一次性衛生用品,(A) 自備、重複、少用,"【正確答案：A】
解析：
1. 減塑旅遊與綠色生活倡導源頭減量，核心行動原則為「自備盥洗用具及環保杯袋、重複使用毛巾與用具、少用一次性塑膠製品（自備、重複、少用）」，減少旅遊過程所產生之塑膠廢棄物。
2. 選項(C)多使用旅館備品與(D)多使用一次性衛生用品均會製造大量塑膠垃圾，嚴重違背減塑原則；選項(B)輕便行李雖有助於交通減碳，但最直接切合「減塑」核心行動綱領的為(A)。"
149,暑期練習7/6,水蒸氣遇冷會產生霜或露，下列哪個選項是正確的敘述？,霜是透明的液態,露是白色的固體,霜常見於寒冬的地面上,露常見於秋天清晨的地面,(D) 露常見於秋天清晨的地面,"【正確答案：D】
解析：
1. 秋季夜間晴朗少雲且風速微弱時，地面輻射冷卻顯著，近地面空氣中的水蒸氣遇冷在清晨凝結於草木或地面物體表面形成微小水滴，即為「露（液態）」，因此「露常見於秋天清晨的地面」為正確描述。
2. 選項(A)霜是由水蒸氣在0°C以下直接凝華形成的「白色固態冰晶」；選項(B)露是由水蒸氣凝結而成的「透明液態水滴」；選項(C)在題庫標準解析中，(D)為最具代表性且正確的季節水氣凝結描述。"
150,暑期練習7/6,有國慶鳥之稱的灰面鵟鷹，在國慶前後會成群過境哪一個國家公園？,澎湖南方四島國家公園,墾丁國家公園,台江國家公園,雪霸國家公園,(B) 墾丁國家公園,"【正確答案：B】
解析：
1. 灰面鵟鷹（又稱灰面鷲、國慶鳥）每年秋季自東北亞南下度冬，約在10月10日前後大批過境屏東恆春半島，於「墾丁國家公園」（社頂公園、滿州鄉滿州村一帶）棲息夜宿後出海南遷，形成著名的國慶賞鷹景觀。
2. 選項(A)澎湖南方四島、(C)台江（以黑面琵鷺度冬聞名）、(D)雪霸（以櫻花鉤吻鮭及高山生態聞名），均非灰面鵟鷹國慶過境集結之核心據點。"
151,暑期練習7/9,用自來水養魚，為什麼容易造成魚兒死亡？,自來水中沒有氧氣,自來水中沒有養分,自來水中含有餘氯,自來水中含有臭氧,(C) 自來水中含有餘氯,"【正確答案：C】
解析：
1. 自來水廠在淨水過程中添加氯氣或次氯酸鈉消毒殺菌，並於出廠管網中維持一定濃度的「有效餘氯」。餘氯具有強氧化性，會強烈腐蝕與破壞魚類的鰓部黏膜上皮組織，導致魚鰓失去呼吸交換氧氣功能而窒息死亡。因此養魚使用自來水前需經曝氣或添加水質穩定劑去氯。
2. 選項(A)自來水中含有正常溶解氧；選項(B)魚類養分來自餌料；選項(D)自來水配水管網維持的是餘氯而非臭氧（臭氧極不穩定無法殘留）。"
152,暑期練習7/9,下列何者「不是」水力發電的優點？,不會造成空氣污染,不會有生態衍生問題,運維成本低,可以重複使用,(B) 不會有生態衍生問題,"【正確答案：B】
解析：
1. 水力發電（特別是大規模築壩蓄水式水力電廠）會淹沒上游大片森林陸域生態、阻斷洄游性魚類的洄游繁殖路徑、改變下游河道泥沙輸送與水溫水質，帶來嚴重的生態衝擊，因此「不會有生態衍生問題」並非其優點（是錯誤敘述）。
2. 選項(A)運轉過程不燃燒化石燃料、不排放空污；選項(C)水力機組壽命長且水力為天然資源，運維成本低；選項(D)水資源依賴天然水循環可重複再生利用，均屬水力發電之優點。"
153,暑期練習7/9,惜食教育是全民綠生活推動的主軸之一，請問下列選項何者於惜食十大行動中出現？,要均衡,不打包,不可選,吃格外,(D) 吃格外,"【正確答案：D】
解析：
1. 環境部推展之「惜食十大行動」包含：主動說、吃格外、食在地、惜資源、愛地球、說真話、選友善、買剛好、全利用、吃多元。「吃格外」倡導民眾接納與食用外觀規格不符市場標準但品質與營養無虞的「格外品」蔬果，從源頭減少食物浪費。
2. 選項(A)要均衡、(B)不打包（惜食提倡主動打包剩菜）、(C)不可選，均非惜食十大行動之標準口訣內容。"
